TIPS;NOSAUKUMS;ADRESE
Izglītības iestāde;Dricānu vidusskola;"Dricānu vidusskola", Dricāni, Dricānu pag., Rēzeknes nov., LV-4615
Izglītības iestāde;Lizuma vidusskola;"Pils", Lizums, Lizuma pag., Gulbenes nov., LV-4425
Izglītības iestāde;Mazsalacas vidusskola;"Parka 30", Mazsalacas pag., Mazsalacas nov., LV-4215
Izglītības iestāde;Rāmuļu pamatskola;"Rāmuļu Skola", Rāmuļi, Vaives pag., Cēsu nov., LV-4136
Izglītības iestāde;Rankas pamatskola;"Rankas pamatskola", Rankas pag., Gulbenes nov., LV-4416
Izglītības iestāde;Stalbes vidusskola;"Stalbes vidusskola", Stalbe, Stalbes pag., Pārgaujas nov., LV-4151
Izglītības iestāde;Tirzas pamatskola;"Tirzas pamatskola", Tirza, Tirzas pag., Gulbenes nov., LV-4424
Bibliotēka;Edvarta Virzas Iecavas bibliotēka;Edvarta Virzas iela 21A, Iecava, Iecavas nov., LV-3913
Bibliotēka;Krišjāņa Valdemāra Ēdoles pagasta bibliotēka;Dārza iela 6, Ēdole, Ēdoles pag., Kuldīgas nov., LV-3310
Bibliotēka;Engures pagasta bibliotēka;Jūras iela 85, Engure, Engures pag., Engures nov., LV-3113
Bibliotēka;Feimaņu pagasta bibliotēka;"Klubs", Feimaņi, Feimaņu pag., Rēzeknes nov., LV-4623
Bibliotēka;Gaiķu pagasta  bibliotēka;"Gaiķu pagasta nams", Gaiķi, Gaiķu pag., Brocēnu nov., LV-3873
Bibliotēka;Gaiķu pagasta Satiķu bibliotēka;"Tautas nams", Satiķi, Gaiķu pag., Brocēnu nov., LV-3873
Bibliotēka;Gaujienas bibliotēka;"Pilskalni", Gaujiena, Gaujienas pag., Apes nov., LV-4339
Bibliotēka;Brunavas pagasta Grenctāles bibliotēka;"Grenctāles kultūras nams", Grenctāle, Brunavas pag., Bauskas nov., LV-3907
Bibliotēka;Griškānu pagasta bibliotēka;Centrālā iela 27, Sprūževa, Griškānu pag., Rēzeknes nov., LV-4641
Bibliotēka;Gudenieku bibliotēka;"Pagastmāja", Gudenieki, Gudenieku pag., Kuldīgas nov., LV-3312
Bibliotēka;Gudenieku pagasta Basu bibliotēka;"Ziedoņi", Basi, Gudenieku pag., Kuldīgas nov., LV-3312
Bibliotēka;Ilūkstes novada centrālā bibliotēka;Brīvības iela 12, Ilūkste, Ilūkstes nov., LV-5447
Bibliotēka;INCB Eglaines pagasta bibliotēka;Stendera iela 7, Eglaine, Eglaines pag., Ilūkstes nov., LV-5444
Bibliotēka;INCB Ilūkstes pilsētas bērnu bibliotēka;Jēkabpils iela 10A, Ilūkste, Ilūkstes nov., LV-5447
Bibliotēka;INCB Pilskalnes pagasta bibliotēka;Nākotnes iela 4, Pilskalne, Pilskalnes pag., Neretas nov., LV-5110
Bibliotēka;INCB Šēderes pagasta bibliotēka;Skolas iela 2, Šēdere, Šēderes pag., Ilūkstes nov., LV-5474
Bibliotēka;INCB Šēderes pagasta Pašulienes bibliotēka;"6", Pašuliene, Šēderes pag., Ilūkstes nov., LV-5474
Bibliotēka;INCB Subates pilsētas bibliotēka;Tirgus laukums 20, Subate, Ilūkstes nov., LV-5471
Bibliotēka;Irlavas pagasta bibliotēka;"Svēteļi", Irlava, Irlavas pag., Tukuma nov., LV-3137
Bibliotēka;Iršu pagasta bibliotēka;"Kūlēni", Irši, Iršu pag., Kokneses nov., LV-5108
Bibliotēka;Isnaudas pagasta Istalsnas bibliotēka;"Dzelmes", Istalsna, Isnaudas pag., Ludzas nov., LV-5716
Bibliotēka;Istras pagasta bibliotēka;"Pagasta ēka", Vecslabada, Istras pag., Ludzas nov., LV-5748
Bibliotēka;Īvandes bibliotēka;"Skolas nams", Īvande, Īvandes pag., Kuldīgas nov., LV-3313
Bibliotēka;Īves bibliotēka;"Pils", Tiņģere, Īves pag., Talsu nov., LV-3261
Bibliotēka;Bejas bibliotēka;"Bejas skola", Beja, Jaunalūksnes pag., Alūksnes nov., LV-4350
Bibliotēka;Jaunannas bibliotēka;"Liepzari", Jaunanna, Jaunannas pag., Alūksnes nov., LV-4340
Bibliotēka;Jaunauces pagasta bibliotēka;"Tautas nams", Jaunauce, Jaunauces pag., Saldus nov., LV-3893
Bibliotēka;Codes pagasta Jauncodes bibliotēka;Draudzības iela 3, Jauncode, Codes pag., Bauskas nov., LV-3901
Bibliotēka;Jaunjelgavas pilsētas bibliotēka;Jelgavas iela 31, Jaunjelgava, Jaunjelgavas nov., LV-5134
Bibliotēka;Jaunlaicenes bibliotēka;"Riekstiņi", Jaunlaicene, Jaunlaicenes pag., Alūksnes nov., LV-4336
Bibliotēka;Jaunlutriņu pagasta bibliotēka;Upes iela 4, Jaunlutriņi, Jaunlutriņu pag., Saldus nov., LV-3876
Bibliotēka;Jaunpiebalgas novada Jaunpiebalgas pagasta bibliotēka;Gaujas iela 4, Jaunpiebalga, Jaunpiebalgas pag., Jaunpiebalgas nov., LV-4125
Bibliotēka;Jaunpils pagasta bibliotēka;"Jaunpils pils", Jaunpils, Jaunpils pag., Jaunpils nov., LV-3145
Bibliotēka;Jaunsātu pagasta bibliotēka;"Abavnieki", Abavnieki, Jaunsātu pag., Tukuma nov., LV-3128
Bibliotēka;Vecsaules pagasta Jaunsaules bibliotēka;"Uzvaras", Jaunsaule, Vecsaules pag., Bauskas nov., LV-3915
Bibliotēka;Jaunsilavu bibliotēka;Jaunsilavas iela 9, Jaunsilavas, Turku pag., Līvānu nov., LV-5316
Bibliotēka;Jūrmalas Centrālās bibliotēkas Dubultu bērnu bibliotēka;Strēlnieku prospekts 38, Jūrmala, LV-2015
Bibliotēka;Jēkabpils Galvenā bibliotēka;Rīgas iela 212, Jēkabpils, LV-5202
Bibliotēka;Jēkabpils pilsētas bibliotēka;Vecpilsētas laukums 3C, Jēkabpils, LV-5201
Bibliotēka;Dzirnieku bibliotēka;Ievu iela 12, Dzirnieki, Jaunsvirlaukas pag., Jelgavas nov., LV-3031
Bibliotēka;Platones pagasta Lielvircavas bibliotēka;Lielvircavas iela 4, Lielvircava, Platones pag., Jelgavas nov., LV-3036
Bibliotēka;Platones pagasta bibliotēka;Atspulgu iela 4, Platone, Platones pag., Jelgavas nov., LV-3021
Bibliotēka;Zaļenieku pagasta Ūziņu bibliotēka;"Ūziņu bibliotēka", Zaļenieku pag., Jelgavas nov., LV-3028
Bibliotēka;Sesavas pagasta bibliotēka;Zemgales iela 11, Sesava, Sesavas pag., Jelgavas nov., LV-3034
Bibliotēka;Valgundes bibliotēka;Saules iela 2, Valgunde, Valgundes pag., Jelgavas nov., LV-3017
Bibliotēka;Vircavas pagasta bibliotēka;Jelgavas iela 4, Vircava, Vircavas pag., Jelgavas nov., LV-3020
Bibliotēka;Jersikas bibliotēka;"Ignati", Gospori, Jersikas pag., Līvānu nov., LV-5315
Bibliotēka;Kabiles pagasta bibliotēka;"Sakari", Kabile, Kabiles pag., Kuldīgas nov., LV-3314
Bibliotēka;Kalncempju bibliotēka;"Cempji 2", Kalncempji, Kalncempju pag., Alūksnes nov., LV-4342
Bibliotēka;Kandavas pagasta bibliotēka;"Valdeķi", Valdeķi, Kandavas pag., Kandavas nov., LV-3120
Bibliotēka;Kandavas pilsētas bibliotēka;Lielā iela 11, Kandava, Kandavas nov., LV-3120
Bibliotēka;Kantinieku pagasta bibliotēka;"Administratīvais centrs", Liuža, Kantinieku pag., Rēzeknes nov., LV-4621
Bibliotēka;Kārsavas pilsētas bibliotēka;Vienības iela 49C, Kārsava, Kārsavas nov., LV-5717
Bibliotēka;Kaunatas pagasta 1. bibliotēka;Rāznas iela 32, Kaunata, Kaunatas pag., Rēzeknes nov., LV-4622
Bibliotēka;Ķikuru bibliotēka;Avotu iela 1, Ķikuri, Turlavas pag., Kuldīgas nov., LV-3329
Bibliotēka;Klintaines pagasta bibliotēka;"Kūlīši", Stukmaņi, Klintaines pag., Pļaviņu nov., LV-5129
Bibliotēka;Kokneses novada Ratnicēnu bibliotēka;"Raudas", Kokneses pag., Kokneses nov., LV-5113
Bibliotēka;Kokneses pagasta bibliotēka;1905. gada iela 7, Koknese, Kokneses pag., Kokneses nov., LV-5113
Bibliotēka;Krišjāņu pagasta bibliotēka;Jaunatnes iela 3, Krišjāņi, Krišjāņu pag., Balvu nov., LV-4574
Bibliotēka;Kubulu pagasta bibliotēka;Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566
Bibliotēka;Kuldīgas galvenā bibliotēka;1905. gada iela 6, Kuldīga, Kuldīgas nov., LV-3301
Bibliotēka;Kupravas bibliotēka;Rūpnīcas iela 3, Kuprava, Kupravas pag., Viļakas nov., LV-4582
Bibliotēka;Kurmenes pagasta bibliotēka;"Baltā skola", Kurmene, Kurmenes pag., Vecumnieku nov., LV-5115
Bibliotēka;Laidu bibliotēka;"Bitīte", Laidi, Laidu pag., Kuldīgas nov., LV-3317
Bibliotēka;Laidzes bibliotēka;"Mežrozes", Laidze, Laidzes pag., Talsu nov., LV-3280
Bibliotēka;Ķūļciema bibliotēka;"Tīrumi", Ķūļciems, Ķūļciema pag., Talsu nov., LV-3283
Bibliotēka;Latvijas Neredzīgo bibliotēkas Rēzeknes filiālbibliotēka;Bukmuižas iela 20, Rēzekne, LV-4601
Bibliotēka;Lauderu pagasta bibliotēka;Rožu iela 6, Lauderi, Lauderu pag., Zilupes nov., LV-5722
Bibliotēka;Lazdu bibliotēka;"Vecmokas", Tumes pag., Tukuma nov., LV-3139
Bibliotēka;Lazdulejas pagasta bibliotēka;"Administratīvā ēka", Egļuciems, Lazdulejas pag., Balvu nov., LV-4592
Bibliotēka;Lestenes pagasta bibliotēka;"Saules", Lestene, Lestenes pag., Tukuma nov., LV-3146
Bibliotēka;Lībagu bibliotēka;"Pagastmāja", Mundigciems, Lībagu pag., Talsu nov., LV-3258
Bibliotēka;Liepnas pagasta bibliotēka;"Liepnas vidusskola", Liepna, Liepnas pag., Alūksnes nov., LV-4354
Bibliotēka;Līgatnes pilsētas bibliotēka;Spriņģu iela 4, Līgatne, Līgatnes nov., LV-4110
Bibliotēka;Līvānu novada Centrālā bibliotēka;Rīgas iela 136, Līvāni, Līvānu nov., LV-5316
Bibliotēka;Lubes bibliotēka;"Sniedzes", Anuži, Lubes pag., Talsu nov., LV-3262
Bibliotēka;Ludzas pilsētas galvenā bibliotēka;Stacijas iela 41, Ludza, Ludzas nov., LV-5701
Bibliotēka;Lutriņu pagasta bibliotēka;"Pagasta māja", Lutriņi, Lutriņu pag., Saldus nov., LV-3861
Bibliotēka;Malienas bibliotēka;"Brenci", Brenci, Malienas pag., Alūksnes nov., LV-4359
Bibliotēka;Māriņkalna bibliotēka;"Pagastmāja", Māriņkalns, Ziemera pag., Alūksnes nov., LV-4332
Bibliotēka;Mārkalnes pagasta bibliotēka;"Pūcīte", Mārkalne, Mārkalnes pag., Alūksnes nov., LV-4351
Bibliotēka;Matkules pagasta bibliotēka;"Tūjas", Matkule, Matkules pag., Kandavas nov., LV-3132
Bibliotēka;Medņevas bibliotēka;Tautas iela 1, Semenova, Medņevas pag., Viļakas nov., LV-4586
Bibliotēka;Mērdzenes pagasta bibliotēka;Liepu iela 19, Mērdzene, Mērdzenes pag., Kārsavas nov., LV-5726
Bibliotēka;Mērsraga novada bibliotēka;Lielā iela 25, Mērsrags, Mērsraga nov., LV-3284
Bibliotēka;Mežotnes pagasta Mežotnes bibliotēka;Pils iela 8, Mežotne, Mežotnes pag., Bauskas nov., LV-3918
Bibliotēka;Mežvidu pagasta bibliotēka;"Pagastmāja", Mežvidi, Mežvidu pag., Kārsavas nov., LV-5725
Bibliotēka;Vecumnieku pagasta Misas bibliotēka;"Misas Kūdra 17", Misa, Vecumnieku pag., Vecumnieku nov., LV-3906
Bibliotēka;Ceraukstes pagasta Mūsas bibliotēka;Centra iela 6, Mūsa, Ceraukstes pag., Bauskas nov., LV-3901
Bibliotēka;Nautrēnu pagasta bibliotēka;"Vālodzīte", Rogovka, Nautrēnu pag., Rēzeknes nov., LV-4652
Bibliotēka;Neretas novada centrālā bibliotēka;Pētera Lodziņa iela 1, Nereta, Neretas pag., Neretas nov., LV-5118
Bibliotēka;Neretas novada Neretas bērnu bibliotēka;Dzirnavu iela 4, Nereta, Neretas pag., Neretas nov., LV-5118
Bibliotēka;Neretas novada Pilskalnes pagasta bibliotēka;Nākotnes iela 4, Pilskalne, Pilskalnes pag., Neretas nov., LV-5110
Bibliotēka;Neretas novada Zalves pagasta bibliotēka;"Atpūtas", Zalve, Zalves pag., Neretas nov., LV-5112
Bibliotēka;Neretas novada Zalves pagasta Sproģu bibliotēka;"Bērnudārzs 2", Sproģi, Zalves pag., Neretas nov., LV-5112
Bibliotēka;Nīgrandes pagasta Kalnu bibliotēka;Kalnu iela 4, Kalni, Nīgrandes pag., Saldus nov., LV-3898
Bibliotēka;Nīkrāces bibliotēka;Ziedu iela 1, Dzelda, Nīkrāces pag., Skrundas nov., LV-3320
Bibliotēka;Nirzas pagasta bibliotēka;"Bibliotēka", Nirza, Nirzas pag., Ludzas nov., LV-5729
Bibliotēka;Nogales bibliotēka;"Nogales tautas nams", Nogale, Ārlavas pag., Talsu nov., LV-3260
Bibliotēka;Ņukšu pagasta bibliotēka;"Bibliotēka", Ņukši, Ņukšu pag., Ludzas nov., LV-5730
Bibliotēka;Vecsaules pagasta Ozolaines bibliotēka;"Ozolaines pamatskola", Ozolaine, Vecsaules pag., Bauskas nov., LV-3936
Bibliotēka;Ozolmuižas pagasta bibliotēka;"Laimas", Ozolmuiža, Ozolmuižas pag., Rēzeknes nov., LV-4633
Bibliotēka;Ozolnieku novada Ānes bibliotēka;Celtnieku iela 12B, Āne, Cenu pag., Ozolnieku nov., LV-3043
Bibliotēka;Salgales pagasta Garozas bibliotēka;"Eži", Garoza, Salgales pag., Ozolnieku nov., LV-3045
Bibliotēka;Gailīšu pagasta Pāces bibliotēka;"Pāce 5", Pāce, Gailīšu pag., Bauskas nov., LV-3931
Bibliotēka;Padures pagasta bibliotēka;"Teikas", Padure, Padures pag., Kuldīgas nov., LV-3321
Bibliotēka;Pampāļu pagasta  bibliotēka;"Pumpuriņi", Pampāļi, Pampāļu pag., Saldus nov., LV-3882
Bibliotēka;Pārgaujas novada Raiskuma pagasta bibliotēka;"Pagastmāja", Raiskums, Raiskuma pag., Pārgaujas nov., LV-4146
Bibliotēka;Straupes pagasta bibliotēka;Braslas iela 1, Straupe, Straupes pag., Pārgaujas nov., LV-4152
Bibliotēka;Pastendes bibliotēka;Skolas iela 2, Pastende, Ģibuļu pag., Talsu nov., LV-3251
Bibliotēka;Pelču pagasta bibliotēka;"Pelču pils", Pelči, Pelču pag., Kuldīgas nov., LV-3322
Bibliotēka;Pildas pagasta bibliotēka;Liepu iela 3, Pilda, Pildas pag., Ludzas nov., LV-5733
Bibliotēka;Pļaviņu novada bibliotēka;Daugavas iela 49, Pļaviņas, Pļaviņu nov., LV-5120
Bibliotēka;Pļaviņu novada Gostiņu bibliotēka;Lielā iela 19, Pļaviņas, Pļaviņu nov., LV-5120
Bibliotēka;Pļavu bibliotēka;"Pļavu skola", Laucienes pag., Talsu nov., LV-3285
Bibliotēka;Priedaines bibliotēka;"Kalves", Priedaine, Kurmāles pag., Kuldīgas nov., LV-3301
Bibliotēka;Priekuļu novada Liepas pagasta bibliotēka;Rūpnīcas iela 8, Liepa, Liepas pag., Priekuļu nov., LV-4128
Bibliotēka;Priekuļu novada Priekuļu pagasta bibliotēka;Raiņa iela 8, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126
Bibliotēka;Priekuļu novada Raunas pagasta bibliotēka;Rīgas iela 2, Rauna, Raunas pag., Raunas nov., LV-4131
Bibliotēka;Priekuļu novada Veselavas pagasta bibliotēka;"Viesturi", Veselava, Veselavas pag., Priekuļu nov., LV-4116
Bibliotēka;Pureņu pagasta bibliotēka;Kalna iela 3, Kivdolova, Pureņu pag., Ludzas nov., LV-5745
Bibliotēka;Pūres pagasta bibliotēka - informācijas un novada izpētes centrs;"Pūre 18", Pūre, Pūres pag., Tukuma nov., LV-3124
Bibliotēka;Pušmucovas pagasta bibliotēka;Skolas iela 4, Pušmucova, Pušmucovas pag., Ciblas nov., LV-5742
Bibliotēka;Raņķu bibliotēka;"Sākumskola", Raņķi, Raņķu pag., Skrundas nov., LV-3323
Bibliotēka;Drustu pagasta bibliotēka;Palsas iela 11, Drusti, Drustu pag., Raunas nov., LV-4132
Bibliotēka;Drustu pagasta Gatartas bibliotēka;"Palejas", Drustu pag., Raunas nov., LV-4132
Bibliotēka;Raunas novada Raunas pagasta bibliotēka;Rīgas iela 2, Rauna, Raunas pag., Raunas nov., LV-4131
Bibliotēka;Raunas pagasta Rozes bibliotēka;"Rozes", Rozes, Raunas pag., Raunas nov., LV-4131
Bibliotēka;Rekavas bibliotēka;Skolas iela 2, Rekova, Šķilbēnu pag., Viļakas nov., LV-4587
Bibliotēka;Remtes pagasta bibliotēka;"Kantora ēka", Remte, Remtes pag., Brocēnu nov., LV-3871
Bibliotēka;Rendas pagasta bibliotēka;"Podnieki", Renda, Rendas pag., Kuldīgas nov., LV-3319
Bibliotēka;Rēzeknes pilsētas 2. bibliotēka - Rēzeknes pilsētas Centrālās bibliotēkas filiāle;Atbrīvošanas aleja 166, Rēzekne, LV-4604
Bibliotēka;Rēzeknes pilsētas bērnu bibliotēka - Rēzeknes pilsētas Centrālās bibliotēkas filiāle;Dārzu iela 37, Rēzekne, LV-4601
Bibliotēka;Līvānu novada Centrālās bibliotēkas Rīta filiālbibliotēka;Liepu iela 5, Upenieki, Jersikas pag., Līvānu nov., LV-5315
Bibliotēka;Īslīces pagasta Rītausmu bibliotēka;"Lauktehnika 22", Rītausmas, Īslīces pag., Bauskas nov., LV-3901
Bibliotēka;Rojas novada Kaltenes bibliotēka;"Kaltenes klubs", Kaltene, Rojas nov., LV-3264
Bibliotēka;Iecavas novada Rosmes bibliotēka;"Rosme 12", Rosme, Iecavas nov., LV-3913
Bibliotēka;Rožupes bibliotēka;Skolas iela 7, Rožupe, Rožupes pag., Līvānu nov., LV-5327
Bibliotēka;Rubas pagasta Līkupēnu bibliotēka;"Veclīkupēni", Rubas pag., Saldus nov., LV-3892
Bibliotēka;Rudbāržu bibliotēka;Jubilejas iela 4, Rudbārži, Rudbāržu pag., Skrundas nov., LV-3324
Bibliotēka;Rudzātu bibliotēka;Miera iela 1, Rudzāti, Rudzātu pag., Līvānu nov., LV-5328
Bibliotēka;Rugāju bibliotēka;Kurmenes iela 36, Rugāji, Rugāju pag., Rugāju nov., LV-4570
Bibliotēka;Rumbas bibliotēka;Riežupes iela 1, Mežvalde, Rumbas pag., Kuldīgas nov., LV-3301
Bibliotēka;Talsu novada Sabiles bērnu bibliotēka;Talsu iela 1/7, Sabile, Talsu nov., LV-3294
Bibliotēka;Sabiles bibliotēka;Ventspils iela 14, Sabile, Talsu nov., LV-3294
Bibliotēka;Saldus pilsētas bibliotēka;Tūristu iela 3, Saldus, Saldus nov., LV-3801
Bibliotēka;Sēmes pagasta bibliotēka;Ezera iela 1A, Sēme, Sēmes pag., Tukuma nov., LV-3110
Bibliotēka;Sērenes pagasta bibliotēka;"Tautas nams", Sērene, Sērenes pag., Jaunjelgavas nov., LV-5123
Bibliotēka;Laidu pagasta Sermītes bibliotēka;"Sermītes skola", Sermīte, Laidu pag., Kuldīgas nov., LV-3330
Bibliotēka;Skaistkalnes pagasta Skaistkalnes bibliotēka;Skolas iela 1, Skaistkalne, Skaistkalnes pag., Vecumnieku nov., LV-3924
Bibliotēka;Skrundas pilsētas bibliotēka;Lielā iela 1A, Skrunda, Skrundas nov., LV-3326
Bibliotēka;Skujetnieku bibliotēka;Liepu iela 4, Skujetnieki, Lazdukalna pag., Rugāju nov., LV-4577
Bibliotēka;Slampes pagasta bibliotēka;"Kultūras pils", Slampe, Slampes pag., Tukuma nov., LV-3119
Bibliotēka;Smārdes pagasta bibliotēka;Jaunā iela 9, Smārde, Smārdes pag., Engures nov., LV-3129
Bibliotēka;Smārdes pagasta Milzkalnes bibliotēka;"Šlokenbekas muižas ansamblis", Milzkalne, Smārdes pag., Engures nov., LV-3148
Bibliotēka;Smiltenes novada bibliotēka;Baznīcas laukums 13, Smiltene, Smiltenes nov., LV-4729
Bibliotēka;Smiltenes novada Bilskas bibliotēka;"Pašvaldības māja", Bilska, Bilskas pag., Smiltenes nov., LV-4706
Bibliotēka;Smiltenes novada bibliotēkas Loberģu bibliotēka;"Mūri", Bilskas pag., Smiltenes nov., LV-4706
Bibliotēka;Smiltenes novada Birzuļu bibliotēka;"Birzuļu tautas nams", Mēri, Bilskas pag., Smiltenes nov., LV-4706
Bibliotēka;Smiltenes novada Blomes bibliotēka;Cēsu iela 13, Blome, Blomes pag., Smiltenes nov., LV-4707
Bibliotēka;Smiltenes novada Brantu bibliotēka;Rīgas iela 71, Vidzeme, Brantu pag., Smiltenes nov., LV-4729
Bibliotēka;Smiltenes novada Grundzāles bibliotēka;Tilta iela 5, Grundzāle, Grundzāles pag., Smiltenes nov., LV-4713
Bibliotēka;Smiltenes novada Launkalnes bibliotēka;Ezera iela 2A, Launkalne, Launkalnes pag., Smiltenes nov., LV-4718
Bibliotēka;Smiltenes novada Palsmanes bibliotēka;"Kultūras nams", Palsmane, Palsmanes pag., Smiltenes nov., LV-4724
Bibliotēka;Smiltenes novada Variņu bibliotēka;Oktobra iela 13, Variņi, Variņu pag., Smiltenes nov., LV-4726
Bibliotēka;Snēpeles bibliotēka;"Pagastmāja", Snēpele, Snēpeles pag., Kuldīgas nov., LV-3328
Bibliotēka;Spāres bibliotēka;"Spāres muiža", Spāre, Ģibuļu pag., Talsu nov., LV-3298
Bibliotēka;Staiceles pilsētas bibliotēka;Parka iela 2, Staicele, Alojas nov., LV-4043
Bibliotēka;Stelpes pagasta Stelpes bibliotēka;Kalna iela 3, Stelpe, Stelpes pag., Vecumnieku nov., LV-3925
Bibliotēka;Stendes bibliotēka;Dumpīšu iela 3A, Stende, Talsu nov., LV-3257
Bibliotēka;Stoļerovas pagasta bibliotēka;Skolas iela 1, Stoļerova, Stoļerovas pag., Rēzeknes nov., LV-4642
Bibliotēka;Straumes bibliotēka;"Mazgaiļi", Skultes muiža, Skultes pag., Limbažu nov., LV-4025
Bibliotēka;Strautiņu bibliotēka;"Zemenīte", Strautiņi, Alsviķu pag., Alūksnes nov., LV-4333
Bibliotēka;Mežotnes pagasta Strēlnieku bibliotēka;Parka iela 1, Strēlnieki, Mežotnes pag., Bauskas nov., LV-3926
Bibliotēka;Jērcēnu pagasta bibliotēka - informācijas centrs;"Jērcēnmuiža", Jērcēni, Jērcēnu pag., Strenču nov., LV-4715
Bibliotēka;Strenču novada Plāņu pagasta bibliotēka;Skolas iela 2, Plāņi, Plāņu pag., Strenču nov., LV-4727
Bibliotēka;Strenču novada Plāņu pagasta Jaunklidža  bibliotēka;"Saieta Nams", Jaunklidzis, Plāņu pag., Strenču nov., LV-4727
Bibliotēka;Strenču novada Sedas pilsētas bibliotēka;Skolas laukums 2, Seda, Strenču nov., LV-4728
Bibliotēka;Strenču pilsētas bibliotēka;Pulkveža Zemitāna iela 5, Strenči, Strenču nov., LV-4730
Bibliotēka;Strūžānu pagasta bibliotēka;Miera iela 14A, Strūžāni, Stružānu pag., Rēzeknes nov., LV-4643
Bibliotēka;Sunākstes pagasta bibliotēka;"Saulstari", Sunākste, Sunākstes pag., Jaunjelgavas nov., LV-5130
Bibliotēka;Līvānu novada Centrālās bibliotēkas Sutru filiālbibliotēka;Uzvaras iela 5, Sutri, Sutru pag., Līvānu nov., LV-5334
Bibliotēka;Valles pagasta Taurkalnes bibliotēka;"Zemenītes", Taurkalne, Valles pag., Vecumnieku nov., LV-5106
Bibliotēka;Tērvetes novada Bukaišu pagasta bibliotēka;"Rotas", Bukaiši, Bukaišu pag., Tērvetes nov., LV-3714
Bibliotēka;Tērvetes novada Tērvetes pagasta Bites bibliotēka;"Ābeles", Kroņauce, Tērvetes pag., Tērvetes nov., LV-3730
Bibliotēka;Tikaiņu bibliotēka;"Tikaiņu veikals", Rugāju pag., Rugāju nov., LV-4570
Bibliotēka;Tilžas pagasta bibliotēka;Brīvības iela 3A, Tilža, Tilžas pag., Balvu nov., LV-4572
Bibliotēka;Tukuma bibliotēka;Šēseles iela 3, Tukums, Tukuma nov., LV-3101
Bibliotēka;Tumes pagasta bibliotēka;Pasta iela 1A, Tume, Tumes pag., Tukuma nov., LV-3139
Bibliotēka;Turku pagasta bibliotēka;"Gavartiene 1", Turki, Turku pag., Līvānu nov., LV-5312
Bibliotēka;Turlavas bibliotēka;"Gundegas 1", Turlava, Turlavas pag., Kuldīgas nov., LV-3329
Bibliotēka;Valkas novada Ērģemes pagasta Turnas bibliotēka;"Valžkalni", Turna, Ērģemes pag., Valkas nov., LV-4711
Bibliotēka;Uguņu bibliotēka;"Avoti", Uguņciems, Vandzenes pag., Talsu nov., LV-3284
Bibliotēka;Umurgas bibliotēka;Cēsu iela 6, Umurga, Umurgas pag., Limbažu nov., LV-4004
Bibliotēka;Umpārtes bibliotēka;"Klīvi 1", Vecumnieku pag., Vecumnieku nov., LV-3930
Bibliotēka;Upītes bibliotēka;Akas laukums 1, Upīte, Šķilbēnu pag., Viļakas nov., LV-4587
Bibliotēka;Valdemāra Ancīša Aknīstes bibliotēka;Skolas iela 16, Aknīste, Aknīstes nov., LV-5208
Bibliotēka;Valdemārpils bibliotēka;Raiņa iela 14, Valdemārpils, Talsu nov., LV-3260
Bibliotēka;Valdgales bibliotēka;"Kamenītes", Pūņas, Valdgales pag., Talsu nov., LV-3253
Bibliotēka;Valkas novada centrālā bibliotēka;Rīgas iela 22, Valka, Valkas nov., LV-4701
Bibliotēka;Valkas novada Ērģemes pagasta bibliotēka;"Arkādijas", Ērģeme, Ērģemes pag., Valkas nov., LV-4711
Bibliotēka;Kārķu pagasta bibliotēka;"Ausmas", Kārķi, Kārķu pag., Valkas nov., LV-4716
Bibliotēka;Valkas novada Vijciema pagasta bibliotēka;"Druvas", Vijciems, Vijciema pag., Valkas nov., LV-4733
Bibliotēka;Valles pagasta Valles bibliotēka;Liepu iela 15, Valle, Valles pag., Vecumnieku nov., LV-5106
Bibliotēka;Vandzenes bibliotēka;"Tautas nams", Vandzene, Vandzenes pag., Talsu nov., LV-3281
Bibliotēka;Vānes pagasta bibliotēka;"Prātnieki", Vāne, Vānes pag., Kandavas nov., LV-3131
Bibliotēka;Veclaicenes bibliotēka;"Vaiņagi", Korneti, Veclaicenes pag., Alūksnes nov., LV-4335
Bibliotēka;Vecpiebalgas novada Taurenes pagasta bibliotēka;"Rudiņi", Taurene, Taurenes pag., Vecpiebalgas nov., LV-4119
Bibliotēka;Vecpiebalgas novada Dzērbenes pagasta bibliotēka;"Sabiedriskais centrs", Dzērbene, Dzērbenes pag., Vecpiebalgas nov., LV-4118
Bibliotēka;Inešu pagasta bibliotēka;"Pils", Ineši, Inešu pag., Vecpiebalgas nov., LV-4123
Bibliotēka;Vecpiebalgas novada Kaives pagasta bibliotēka;"Pagasta Dārziņi", Kaive, Kaives pag., Vecpiebalgas nov., LV-4144
Bibliotēka;Vecpiebalgas novada Vecpiebalgas pagasta bibliotēka;Ziemeļu iela 13, Vecpiebalga, Vecpiebalgas pag., Vecpiebalgas nov., LV-4122
Bibliotēka;Vectilžas pagasta bibliotēka;Melderu iela 2, Vectilža, Vectilžas pag., Balvu nov., LV-4571
Bibliotēka;Vecumnieku pagasta bibliotēka;Rīgas iela 5, Vecumnieki, Vecumnieku pag., Vecumnieku nov., LV-3933
Bibliotēka;Vidagas bibliotēka;"Cīrulīši", Vidaga, Virešu pag., Apes nov., LV-4355
